system:index,impervious,landcover,percent_tree_cover,percent_tree_error,.geo
287,0,41,90,11,
288,0,41,87,14,
289,0,41,49,23,
290,48,22,35,20,
291,0,42,68,15,
292,0,81,22,15,
293,0,42,94,7,
294,40,22,21,15,
295,0,41,94,8,
296,15,21,19,13,
297,13,21,56,22,
298,0,41,89,10,
299,11,21,31,18,
300,0,81,8,10,
301,0,42,90,11,
302,37,22,4,7,
303,0,71,93,9,
304,0,41,64,24,
305,0,41,94,8,
306,0,11,27,24,
307,0,81,2,7,
308,0,52,36,20,
309,0,71,63,20,
310,0,41,18,19,
311,14,21,64,18,
312,0,81,6,8,
313,0,41,92,9,
314,0,41,65,22,
315,0,41,99,4,
316,0,81,6,7,
317,0,41,93,11,
318,0,71,13,17,
319,84,24,15,16,
320,0,41,91,8,
321,0,81,12,15,
322,0,71,93,10,
323,0,41,34,25,
324,0,81,4,7,
325,17,21,59,16,
326,51,23,23,18,
327,0,42,97,5,
328,0,81,5,7,
329,0,71,70,23,
330,0,41,100,1,
331,0,81,5,10,
332,0,41,95,8,
333,0,81,16,17,
334,0,41,98,6,
335,0,81,7,14,
336,0,42,39,19,
337,0,41,100,1,
338,0,42,96,8,
339,0,42,92,11,
340,0,41,64,16,
341,0,41,100,1,
342,0,41,100,1,
343,0,81,15,17,
344,0,52,76,17,
345,17,22,55,18,
346,0,41,83,12,
347,0,90,98,5,
348,0,11,0,6,
349,0,41,85,18,
350,0,11,14,18,
351,0,81,1,4,
352,0,71,79,13,
353,0,42,45,20,
354,0,81,1,6,
355,0,42,18,16,
356,0,42,73,24,
357,0,41,96,6,
358,85,24,16,17,
359,34,22,14,16,
360,15,21,34,16,
361,0,41,78,14,
362,16,21,16,21,
363,0,41,97,7,
364,22,22,46,18,
365,22,22,4,7,
366,0,41,97,6,
367,0,90,74,20,
368,1,21,96,8,
369,0,42,99,4,
370,0,81,10,12,
371,0,81,25,16,
372,0,42,35,25,
373,18,22,71,20,
374,8,21,65,17,
375,0,41,93,9,
376,0,11,31,23,
377,0,41,80,15,
378,0,41,80,11,
379,0,41,100,3,
380,0,41,76,14,
381,0,81,7,9,
382,0,42,98,6,
383,0,90,93,10,
384,0,42,95,8,
385,0,41,44,23,
386,0,81,24,17,
387,0,81,25,15,
388,5,21,11,15,
389,0,43,90,13,
390,0,41,85,12,
391,0,41,77,14,
392,0,41,95,8,
393,0,41,98,11,
394,27,22,34,18,
395,0,81,64,19,
396,32,22,43,20,
397,0,81,2,5,
398,0,41,100,2,
399,21,22,47,19,
400,0,81,12,14,
401,6,21,4,8,
402,0,42,65,20,
403,0,42,98,6,
404,0,41,100,2,
405,0,81,89,15,
406,0,71,82,14,
407,0,81,0,2,
408,0,81,4,8,
409,0,41,90,10,
410,0,81,10,14,
411,0,42,100,4,
412,0,81,28,26,
413,0,81,12,13,
414,0,42,97,7,
415,27,22,42,21,
416,0,81,4,8,
417,0,42,74,15,
418,0,81,14,16,
419,52,23,11,12,
420,78,42,7,13,
421,66,23,24,19,
422,0,42,70,12,
423,0,42,99,4,
424,0,81,8,11,
425,10,21,23,14,
426,0,41,90,10,
427,0,41,98,6,
428,3,21,4,8,
429,0,41,100,1,
430,0,41,86,12,
431,0,41,47,21,
432,0,41,96,8,
433,0,41,91,12,
434,59,23,3,9,
435,4,21,90,10,
