system:index,impervious,landcover,percent_tree_cover,percent_tree_error,.geo
31986,71,23,3,9,
31987,0,41,70,15,
31988,0,81,25,14,
31989,8,21,88,11,
31990,4,21,19,13,
31991,0,81,7,9,
31992,0,41,79,15,
31993,0,81,62,22,
31994,11,21,69,14,
31995,0,90,95,11,
31996,0,81,33,21,
31997,0,11,23,24,
31998,0,81,1,4,
31999,0,71,62,19,
32000,14,21,79,11,
32001,0,42,88,14,
32002,50,24,42,21,
32003,0,71,69,17,
32004,0,41,95,7,
32005,0,82,7,12,
32006,43,22,7,10,
32007,0,42,99,4,
32008,0,81,22,22,
32009,0,81,1,5,
32010,0,41,99,5,
32011,0,41,41,18,
32012,8,21,19,13,
32013,33,22,27,17,
32014,0,41,99,6,
32015,0,71,95,7,
32016,0,41,83,10,
32017,0,41,100,1,
32018,0,81,39,19,
32019,0,71,78,14,
32020,0,41,58,18,
32021,0,42,67,15,
32022,0,41,98,7,
32023,0,42,96,10,
32024,0,81,0,4,
32025,0,42,100,4,
32026,19,21,23,14,
32027,0,41,95,8,
32028,0,81,18,14,
32029,0,41,2,9,
32030,0,71,93,10,
32031,0,42,62,25,
32032,0,81,8,12,
32033,0,41,90,9,
32034,81,24,5,10,
32035,0,41,93,8,
32036,0,41,93,13,
32037,19,22,74,19,
32038,0,43,97,8,
32039,0,41,100,3,
32040,3,21,96,9,
32041,0,81,4,7,
32042,0,81,8,13,
32043,0,42,100,2,
32044,0,81,3,6,
32045,0,41,76,15,
32046,0,81,5,6,
32047,0,41,100,2,
32048,0,41,100,2,
32049,0,81,52,20,
32050,0,41,75,15,
32051,70,23,3,9,
32052,0,81,1,5,
32053,0,81,2,6,
32054,0,41,98,5,
32055,0,41,100,1,
32056,0,81,6,8,
32057,25,22,24,14,
32058,0,81,37,23,
32059,0,42,99,5,
32060,0,81,23,19,
32061,29,22,43,17,
32062,0,42,92,13,
32063,20,22,87,12,
32064,0,41,99,3,
32065,0,42,72,18,
32066,0,41,71,19,
32067,11,21,70,20,
32068,9,21,36,23,
32069,0,81,18,15,
32070,0,42,86,23,
32071,0,41,60,20,
32072,0,81,4,7,
32073,0,11,4,14,
32074,0,41,37,21,
32075,0,81,2,5,
32076,0,41,79,18,
32077,0,43,100,1,
32078,0,81,3,8,
32079,28,21,22,14,
32080,0,41,99,5,
32081,4,21,56,22,
32082,0,52,99,5,
32083,0,21,81,20,
32084,0,41,100,1,
32085,0,81,22,14,
32086,64,23,1,5,
32087,0,41,98,4,
32088,10,21,38,20,
32089,0,41,95,8,
32090,9,21,7,9,
32091,6,21,31,22,
32092,41,22,12,12,
32093,24,22,83,14,
32094,0,42,99,4,
32095,0,41,97,5,
32096,0,43,92,9,
32097,0,42,96,7,
32098,0,81,4,9,
32099,0,52,89,9,
32100,0,43,70,16,
32101,0,81,32,16,
32102,0,41,100,3,
32103,0,52,15,15,
32104,0,81,8,11,
32105,13,21,57,21,
32106,0,81,39,22,
32107,0,41,100,0,
32108,0,71,96,11,
32109,0,42,99,5,
32110,0,41,93,10,
32111,0,41,100,3,
32112,0,41,100,1,
32113,4,22,8,9,
32114,0,41,98,6,
32115,0,81,32,19,
32116,0,41,66,13,
32117,0,81,17,18,
32118,0,52,85,13,
32119,0,81,3,6,
32120,0,43,100,3,
32121,0,41,85,12,
32122,0,42,81,10,
32123,0,42,65,22,
32124,0,42,99,3,
32125,0,41,94,9,
32126,0,71,32,19,
32127,0,42,94,8,
32128,0,81,11,13,
32129,0,41,68,15,
32130,12,21,84,12,
32131,49,22,21,18,
32132,0,90,84,13,
32133,1,22,95,10,
32134,0,71,85,18,
32135,0,41,99,3,
32136,0,81,29,19,
32137,0,41,75,16,
32138,0,81,1,3,
32139,0,41,68,24,
32140,0,81,2,8,
32141,99,24,2,5,
32142,25,22,22,19,
32143,0,81,10,14,
32144,0,42,99,5,
32145,0,43,82,13,
32146,0,71,22,22,
32147,0,42,23,20,
32148,0,71,17,15,
32149,0,41,86,12,
32150,0,41,48,21,
32151,0,41,81,14,
32152,0,41,91,10,
32153,0,52,61,16,
32154,0,52,57,21,
32155,57,23,9,11,
32156,20,22,55,21,
32157,0,81,16,15,
32158,0,11,4,14,
32159,0,11,78,23,
32160,0,41,100,2,
32161,0,43,98,7,
32162,0,41,100,2,
32163,0,42,91,12,
32164,0,42,88,12,
32165,51,23,27,18,
32166,0,81,3,8,
32167,0,81,2,4,
32168,0,81,4,6,
32169,0,81,5,7,
32170,3,21,99,5,
32171,0,71,74,18,
32172,0,41,100,1,
32173,0,11,21,28,
32174,1,21,3,9,
32175,0,81,76,17,
32176,0,81,1,5,
32177,0,41,90,15,
32178,0,71,68,16,
32179,0,42,98,5,
32180,0,41,72,20,
32181,0,41,98,5,
32182,0,81,54,23,
32183,0,81,12,14,
32184,0,81,24,15,
32185,0,81,61,19,
32186,0,42,90,9,
32187,16,23,3,7,
32188,0,81,25,18,
32189,0,81,7,10,
32190,0,41,100,5,
32191,0,52,81,13,
32192,0,41,76,16,
32193,25,22,80,16,
32194,0,41,80,13,
32195,0,41,100,1,
32196,0,42,98,6,
32197,0,41,80,10,
32198,0,81,17,14,
32199,0,43,99,5,
32200,1,21,11,12,
32201,0,81,24,16,
32202,0,41,100,1,
32203,0,81,4,8,
32204,13,21,9,13,
32205,0,42,97,6,
32206,0,41,99,5,
32207,0,41,82,12,
32208,0,41,92,9,
32209,16,21,16,17,
32210,0,81,25,17,
32211,0,41,78,12,
32212,0,41,77,15,
32213,0,41,59,26,
32214,0,81,13,16,
32215,0,41,94,8,
32216,0,41,87,16,
32217,0,71,87,12,
32218,0,41,91,11,
32219,0,81,2,4,
32220,0,42,100,2,
32221,18,21,10,11,
32222,0,41,98,6,
32223,0,81,15,13,
32224,96,24,8,13,
32225,0,41,71,13,
32226,0,42,84,14,
32227,0,81,30,22,
32228,22,22,14,12,
32229,0,41,90,9,
32230,0,71,60,20,
32231,0,81,44,25,
32232,0,81,32,20,
32233,1,21,95,6,
32234,0,41,100,6,
32235,0,42,86,14,
32236,0,41,4,8,
32237,0,41,96,5,
32238,6,21,28,19,
32239,0,41,99,6,
32240,0,42,98,7,
32241,13,21,5,8,
32242,0,41,100,2,
32243,0,41,100,4,
32244,0,81,4,8,
32245,0,42,99,4,
32246,0,41,5,11,
32247,0,41,100,1,
32248,11,21,21,16,
32249,3,22,80,15,
32250,0,41,97,7,
32251,0,41,98,6,
32252,1,21,83,14,
32253,0,71,14,16,
32254,0,41,100,4,
32255,2,21,88,10,
32256,43,22,21,18,
32257,0,41,97,8,
32258,0,41,94,10,
32259,0,41,63,16,
32260,0,41,97,6,
32261,0,41,99,4,
32262,0,81,18,14,
32263,2,21,92,9,
32264,0,81,6,8,
32265,0,42,95,7,
32266,0,81,11,11,
32267,0,41,99,3,
32268,0,11,86,19,
32269,0,42,64,20,
32270,0,41,18,17,
32271,0,81,3,9,
32272,0,41,96,7,
32273,0,81,15,17,
32274,0,41,68,17,
32275,0,41,100,2,
32276,0,81,2,9,
32277,0,42,97,5,
32278,0,42,100,2,
32279,0,81,2,5,
32280,0,41,100,2,
32281,0,41,76,16,
32282,0,11,1,8,
32283,0,42,99,5,
32284,0,52,99,5,
32285,0,11,0,4,
32286,0,41,100,4,
32287,0,41,78,17,
32288,0,52,63,22,
32289,0,81,11,13,
32290,0,41,99,7,
32291,0,41,100,2,
32292,0,81,15,15,
32293,0,41,100,4,
32294,0,81,2,5,
32295,0,81,1,5,
32296,0,41,96,8,
32297,0,81,7,11,
32298,0,41,34,21,
32299,0,41,100,1,
32300,21,22,29,14,
32301,1,21,91,10,
32302,0,42,94,9,
32303,0,41,84,12,
32304,0,81,2,6,
32305,0,41,95,7,
32306,0,11,5,15,
32307,0,41,91,10,
32308,18,21,23,13,
32309,0,71,66,20,
32310,0,81,17,16,
32311,0,81,0,3,
32312,0,41,89,11,
32313,0,81,23,15,
32314,0,71,89,15,
32315,0,81,20,15,
32316,0,81,6,9,
32317,0,41,75,20,
32318,0,41,22,20,
32319,0,41,89,14,
32320,0,41,52,21,
32321,21,22,14,14,
32322,0,41,63,15,
32323,0,41,98,4,
32324,40,22,20,13,
32325,0,81,32,18,
32326,0,41,93,11,
32327,75,23,17,16,
32328,0,41,95,13,
32329,0,41,94,8,
32330,0,11,0,3,
32331,41,22,13,13,
32332,0,41,100,4,
32333,0,81,7,11,
32334,0,41,82,12,
32335,0,41,100,1,
32336,0,81,3,6,
32337,0,42,76,15,
32338,0,81,1,5,
32339,0,41,75,13,
32340,0,42,74,15,
32341,0,41,93,9,
32342,0,41,97,6,
32343,0,71,70,22,
32344,0,41,93,10,
32345,0,41,100,2,
32346,0,41,99,6,
32347,0,41,10,15,
32348,0,42,85,11,
32349,27,22,15,13,
32350,0,41,65,19,
32351,0,41,91,11,
32352,0,41,89,12,
32353,0,81,25,18,
32354,0,42,98,4,
32355,0,81,19,24,
32356,0,42,65,18,
32357,0,81,5,9,
32358,88,24,16,19,
32359,0,43,99,4,
32360,0,81,26,22,
32361,30,22,13,11,
32362,0,41,76,13,
32363,0,41,99,4,
32364,0,81,27,19,
32365,0,42,89,13,
32366,58,23,18,18,
32367,55,23,15,13,
32368,0,81,45,20,
32369,0,81,16,21,
32370,0,41,95,6,
32371,0,90,94,9,
32372,0,42,97,7,
32373,13,21,37,21,
32374,0,81,4,7,
32375,0,81,3,7,
32376,3,21,32,18,
32377,0,81,2,8,
32378,0,41,96,8,
32379,0,90,99,4,
32380,0,43,97,6,
32381,0,42,100,3,
32382,0,42,88,13,
32383,0,81,2,8,
32384,0,42,94,9,
32385,0,52,62,27,
32386,0,71,60,21,
32387,0,41,87,12,
32388,10,21,80,13,
32389,0,81,13,12,
32390,0,81,41,23,
32391,0,81,13,16,
32392,0,81,15,16,
32393,11,21,69,20,
32394,0,42,93,11,
32395,0,41,97,6,
32396,0,42,82,11,
32397,0,81,2,5,
32398,0,42,87,16,
32399,0,42,86,14,
32400,0,41,98,5,
32401,0,41,86,16,
32402,0,41,96,7,
32403,0,42,88,12,
32404,13,21,4,11,
32405,0,52,88,13,
32406,0,41,84,12,
32407,0,42,4,9,
32408,0,81,0,2,
32409,0,81,12,14,
32410,0,81,15,13,
32411,0,81,31,21,
32412,0,11,2,6,
32413,0,81,10,16,
32414,26,22,7,15,
32415,1,21,88,11,
32416,0,41,76,15,
32417,0,42,95,9,
32418,0,41,85,17,
32419,1,21,95,6,
32420,28,22,8,12,
32421,41,22,19,15,
32422,0,52,85,17,
32423,0,41,99,3,
32424,0,81,2,5,
32425,0,41,96,6,
32426,0,41,100,2,
32427,84,23,14,16,
32428,0,41,100,2,
32429,0,81,2,6,
32430,0,81,18,12,
32431,0,41,68,15,
32432,15,21,79,14,
32433,0,41,99,4,
32434,0,42,79,15,
32435,25,22,16,13,
32436,3,21,63,19,
32437,47,22,8,10,
32438,0,41,99,4,
32439,0,90,100,3,
32440,1,21,25,16,
32441,30,23,2,9,
32442,0,43,98,6,
32443,0,81,17,14,
32444,0,90,99,4,
32445,0,41,96,7,
32446,0,41,94,8,
32447,0,41,99,6,
32448,0,41,83,14,
32449,0,81,10,13,
32450,0,81,2,5,
32451,0,81,41,23,
32452,0,71,20,21,
32453,0,41,99,4,
32454,0,42,70,19,
32455,95,24,3,6,
32456,0,41,98,4,
32457,0,41,74,12,
32458,0,81,3,8,
32459,0,41,96,8,
32460,0,71,78,13,
32461,0,41,100,3,
32462,0,52,89,10,
32463,28,22,21,14,
32464,19,21,26,14,
32465,0,81,32,14,
32466,0,41,98,6,
32467,0,41,86,13,
32468,100,24,9,12,
32469,0,41,92,10,
32470,0,81,7,10,
32471,0,42,96,9,
32472,0,41,78,14,
32473,0,81,4,9,
32474,0,71,75,14,
32475,0,90,99,6,
32476,34,22,79,13,
32477,0,81,2,4,
32478,0,41,100,2,
32479,0,41,76,17,
32480,0,42,98,7,
32481,16,21,27,15,
32482,1,21,14,11,
32483,0,41,91,9,
32484,0,81,6,9,
32485,0,41,100,0,
32486,0,81,17,16,
32487,0,71,59,18,
32488,0,41,100,2,
32489,0,42,86,11,
32490,0,42,92,9,
32491,0,41,97,5,
32492,0,42,100,3,
32493,0,81,2,8,
32494,0,41,71,15,
32495,0,71,78,14,
32496,0,81,15,14,
32497,0,41,79,15,
32498,0,71,88,11,
32499,0,41,100,1,
32500,25,22,39,19,
32501,0,41,99,6,
32502,0,81,12,13,
32503,0,41,99,4,
32504,0,81,8,11,
32505,0,41,100,3,
32506,0,41,98,5,
32507,1,21,94,9,
32508,0,41,91,8,
32509,0,81,7,7,
32510,0,42,67,16,
32511,0,42,91,11,
32512,15,21,24,18,
32513,0,42,90,11,
32514,0,42,98,5,
32515,0,41,82,12,
32516,0,43,95,9,
32517,0,81,81,31,
32518,0,42,97,6,
32519,0,41,68,15,
32520,0,41,83,13,
32521,0,11,1,10,
32522,0,82,0,6,
32523,3,21,60,17,
32524,2,21,69,17,
32525,0,41,10,11,
32526,0,41,100,2,
32527,0,41,83,19,
32528,0,42,73,21,
32529,0,81,7,13,
32530,15,21,59,19,
32531,0,41,100,3,
32532,0,81,5,12,
32533,0,41,69,14,
32534,0,81,10,12,
32535,0,71,18,21,
32536,1,21,90,11,
32537,22,22,29,17,
32538,0,41,60,18,
32539,0,41,96,7,
32540,0,41,100,2,
32541,7,21,5,11,
32542,0,41,93,11,
32543,0,41,58,18,
32544,0,41,81,14,
32545,0,42,100,3,
32546,0,43,82,13,
32547,0,41,100,2,
32548,0,81,0,5,
32549,0,81,3,8,
32550,0,31,17,14,
32551,0,71,42,21,
32552,0,71,6,15,
32553,27,22,36,17,
32554,0,41,100,1,
32555,0,81,25,22,
32556,28,22,15,13,
32557,0,81,6,9,
32558,0,71,23,17,
32559,0,90,100,2,
32560,0,41,99,4,
32561,0,42,98,6,
32562,0,42,71,12,
32563,37,22,8,11,
32564,0,42,90,9,
32565,0,41,100,1,
32566,3,21,77,14,
32567,0,11,0,5,
32568,0,41,73,16,
32569,0,42,100,4,
32570,0,42,79,18,
32571,0,41,90,12,
32572,0,81,14,16,
32573,3,21,85,15,
32574,0,81,9,13,
32575,0,41,97,6,
32576,0,81,9,8,
32577,0,41,18,16,
32578,0,81,4,10,
32579,0,71,91,15,
32580,15,21,78,15,
32581,0,81,3,5,
32582,0,81,35,20,
32583,0,41,67,20,
32584,18,21,57,21,
32585,0,41,95,8,
32586,0,43,94,7,
32587,0,82,61,22,
32588,0,41,96,7,
32589,0,41,100,2,
32590,0,42,97,5,
32591,0,52,66,20,
32592,66,23,8,14,
32593,0,81,14,10,
32594,0,42,85,15,
32595,0,42,89,11,
32596,0,81,1,2,
32597,0,42,92,10,
32598,16,21,13,13,
32599,0,11,30,22,
32600,0,81,52,30,
32601,0,71,78,13,
32602,0,41,81,13,
32603,0,90,99,4,
32604,7,21,64,17,
32605,0,41,91,8,
32606,28,22,15,11,
32607,0,41,87,16,
32608,0,81,70,22,
32609,0,81,1,3,
32610,0,11,22,18,
32611,0,71,43,16,
32612,0,71,84,14,
32613,0,41,100,1,
32614,35,22,31,21,
32615,0,41,100,2,
32616,0,71,9,14,
32617,0,42,78,13,
32618,0,42,99,4,
32619,19,21,56,17,
32620,0,41,58,24,
32621,0,52,95,8,
32622,14,21,84,14,
32623,27,22,11,8,
32624,0,41,100,2,
32625,0,81,0,3,
32626,0,81,0,2,
32627,13,21,8,9,
32628,0,81,2,5,
32629,0,42,73,14,
32630,0,41,68,14,
32631,0,41,97,6,
32632,0,81,16,16,
32633,0,42,93,7,
32634,4,21,53,22,
32635,0,41,94,7,
32636,0,41,89,13,
32637,0,71,75,22,
32638,0,52,28,22,
32639,24,22,32,18,
32640,0,42,76,15,
32641,31,22,51,20,
32642,0,43,89,14,
32643,0,81,21,25,
32644,3,21,82,16,
32645,1,41,68,15,
32646,0,81,4,7,
32647,0,41,95,8,
32648,0,81,11,13,
32649,0,41,100,1,
32650,0,71,70,13,
32651,14,21,77,15,
32652,0,41,97,7,
32653,4,21,14,12,
32654,0,81,25,18,
32655,0,81,40,19,
32656,0,81,1,4,
32657,0,81,22,15,
32658,0,41,69,14,
32659,0,81,17,16,
32660,0,42,82,13,
32661,0,43,100,3,
32662,34,22,14,13,
32663,42,22,3,6,
32664,41,22,10,11,
32665,25,21,42,19,
32666,1,21,93,9,
32667,0,41,94,8,
32668,0,41,94,9,
32669,0,42,60,18,
32670,0,42,92,11,
32671,0,41,99,5,
32672,0,41,95,6,
32673,0,41,82,12,
32674,0,41,91,10,
32675,0,81,9,8,
32676,0,81,6,7,
32677,0,41,100,2,
32678,0,81,4,10,
32679,0,41,71,19,
32680,1,21,88,10,
32681,65,24,5,8,
32682,0,42,100,4,
32683,0,41,75,16,
32684,0,43,96,6,
32685,0,41,66,18,
32686,0,41,36,24,
32687,0,42,96,7,
32688,0,41,100,4,
32689,0,81,84,14,
32690,0,41,99,3,
32691,0,81,15,17,
32692,0,11,0,1,
32693,0,81,5,6,
32694,0,81,79,27,
32695,10,21,13,16,
32696,0,81,0,4,
32697,0,41,94,8,
32698,0,41,93,9,
32699,0,41,66,22,
32700,0,41,76,12,
32701,0,42,99,3,
32702,0,41,97,6,
32703,0,41,99,4,
32704,0,42,91,10,
32705,3,21,2,7,
32706,0,43,84,12,
32707,0,41,96,8,
32708,0,41,100,1,
32709,0,81,38,23,
32710,0,42,51,21,
32711,0,81,16,12,
32712,0,81,1,3,
32713,0,81,21,15,
32714,0,41,31,20,
32715,0,41,91,13,
32716,0,41,100,2,
32717,0,41,98,5,
32718,0,42,100,3,
32719,0,42,93,9,
32720,0,41,97,5,
32721,16,21,12,12,
32722,0,41,92,8,
32723,0,42,99,4,
32724,0,81,17,14,
32725,90,24,4,10,
32726,0,81,2,8,
32727,0,81,19,15,
32728,0,42,97,6,
32729,0,41,90,11,
32730,0,52,97,9,
32731,0,81,3,7,
32732,12,21,26,14,
32733,0,81,16,14,
32734,0,71,79,15,
32735,0,41,42,22,
32736,0,81,23,25,
32737,0,52,69,25,
32738,16,21,44,25,
32739,0,81,7,12,
32740,0,81,32,16,
32741,0,41,95,9,
32742,0,41,20,18,
32743,0,42,37,16,
32744,0,41,63,21,
32745,0,81,28,20,
32746,0,41,85,10,
32747,0,81,17,15,
32748,0,81,1,3,
32749,43,22,5,11,
32750,14,21,20,19,
32751,0,42,73,13,
32752,0,41,100,1,
32753,0,81,14,15,
32754,5,21,69,16,
32755,0,81,25,25,
32756,0,41,96,6,
32757,0,41,91,8,
32758,0,41,24,21,
32759,0,81,23,13,
32760,0,42,71,15,
32761,0,41,58,24,
32762,0,81,26,26,
32763,15,21,59,20,
32764,0,81,13,14,
32765,3,21,68,14,
32766,0,41,88,10,
32767,0,41,79,18,
32768,0,41,85,11,
32769,2,21,5,9,
32770,0,41,99,6,
32771,0,41,95,8,
32772,0,41,100,2,
32773,0,81,19,16,
32774,36,22,12,11,
32775,0,81,25,20,
32776,23,22,22,19,
32777,0,42,65,21,
32778,18,21,40,22,
32779,0,41,99,5,
32780,0,41,97,9,
32781,10,21,71,15,
32782,0,71,35,18,
32783,0,81,1,5,
32784,0,41,82,16,
32785,0,41,98,5,
32786,0,41,75,17,
32787,0,41,63,17,
32788,0,81,4,7,
32789,0,41,98,7,
32790,0,41,97,6,
32791,0,81,26,19,
32792,0,81,31,19,
32793,15,21,17,12,
32794,0,42,73,17,
32795,0,41,90,11,
32796,0,42,87,11,
32797,0,43,67,19,
32798,1,21,16,16,
32799,0,90,87,12,
32800,0,81,2,5,
32801,0,71,56,19,
32802,0,42,96,9,
32803,0,52,96,9,
32804,0,81,1,4,
32805,0,81,0,4,
32806,46,22,17,12,
32807,0,41,96,6,
32808,0,41,96,9,
32809,78,23,4,9,
32810,32,22,19,13,
32811,3,21,27,15,
32812,0,41,81,13,
32813,0,41,89,9,
32814,0,42,50,24,
32815,0,42,80,15,
32816,0,81,51,19,
32817,0,42,85,13,
32818,1,21,98,7,
32819,0,81,1,5,
32820,0,81,34,20,
32821,0,81,1,7,
32822,0,41,84,12,
32823,0,41,71,15,
32824,29,22,8,8,
32825,0,81,7,9,
32826,0,41,97,8,
32827,70,23,4,9,
32828,8,21,26,14,
32829,0,41,98,6,
32830,0,81,12,14,
32831,0,71,21,17,
32832,0,42,58,17,
32833,66,23,16,14,
32834,0,43,94,7,
32835,0,42,99,5,
32836,0,41,74,12,
32837,0,52,36,22,
32838,0,41,93,7,
32839,1,21,67,17,
32840,0,42,83,18,
32841,0,41,100,2,
32842,16,21,25,16,
32843,0,81,7,13,
32844,0,81,28,17,
32845,0,81,26,19,
32846,0,81,13,13,
32847,0,81,31,21,
32848,0,71,86,11,
32849,0,41,97,7,
32850,0,42,61,14,
32851,0,41,100,1,
32852,0,81,21,18,
32853,48,22,3,6,
32854,0,81,0,3,
32855,0,42,95,10,
32856,0,41,97,6,
32857,18,21,41,19,
32858,0,42,92,11,
32859,0,41,100,3,
32860,0,81,28,17,
32861,0,71,29,17,
32862,0,41,100,2,
32863,0,31,11,14,
32864,0,41,100,1,
32865,0,71,7,11,
32866,0,42,96,7,
32867,0,42,22,20,
32868,0,81,64,23,
32869,0,71,22,13,
32870,0,81,1,7,
32871,0,81,7,11,
32872,0,42,100,2,
32873,95,24,2,5,
32874,0,81,2,10,
32875,0,41,95,7,
32876,0,42,79,12,
32877,0,71,25,15,
32878,28,22,7,8,
32879,0,11,0,5,
32880,6,21,30,15,
32881,0,41,100,1,
32882,60,23,7,10,
32883,0,41,97,7,
32884,0,41,98,5,
32885,0,42,98,5,
32886,0,71,16,19,
32887,0,41,33,18,
32888,0,81,2,7,
32889,0,41,96,7,
32890,0,81,3,6,
32891,0,41,100,4,
32892,0,41,95,10,
32893,0,41,100,4,
32894,0,42,80,13,
32895,0,81,7,8,
32896,32,21,7,10,
32897,0,81,31,20,
32898,7,21,35,21,
32899,0,41,97,7,
32900,0,81,62,21,
32901,0,42,96,7,
32902,20,21,29,18,
32903,0,42,79,15,
32904,0,41,100,1,
32905,22,22,20,17,
32906,0,41,95,8,
32907,0,41,97,7,
32908,0,41,83,12,
32909,0,71,82,12,
32910,0,81,0,3,
32911,2,21,37,24,
32912,11,21,31,16,
32913,9,21,80,14,
32914,0,41,88,10,
32915,0,71,85,11,
32916,0,42,97,8,
32917,1,21,84,15,
32918,0,41,89,12,
32919,0,81,3,7,
32920,0,41,41,24,
32921,7,21,49,22,
32922,0,41,99,6,
32923,0,81,7,12,
32924,3,21,87,13,
32925,0,41,100,4,
32926,0,81,4,13,
32927,0,71,22,18,
32928,0,41,100,1,
32929,0,71,78,15,
32930,0,41,98,6,
32931,0,81,1,5,
32932,0,43,98,5,
32933,0,52,78,15,
32934,0,81,3,5,
32935,0,41,100,3,
32936,0,41,100,2,
32937,33,22,27,20,
32938,78,23,15,18,
32939,0,81,8,13,
32940,1,21,43,32,
32941,0,11,17,17,
32942,0,41,82,12,
32943,0,81,2,7,
32944,0,41,100,2,
32945,0,81,36,20,
32946,0,71,71,15,
32947,0,42,96,10,
32948,0,82,19,21,
32949,0,41,92,10,
32950,12,21,41,21,
32951,0,81,8,10,
32952,0,41,100,3,
32953,0,43,83,13,
32954,0,71,97,8,
32955,0,42,95,7,
32956,0,81,1,4,
32957,0,41,96,8,
32958,0,42,99,7,
32959,0,42,97,6,
32960,0,31,19,15,
32961,0,41,89,9,
32962,20,22,66,20,
32963,0,81,1,5,
32964,0,42,82,10,
32965,85,23,7,12,
32966,44,22,2,6,
32967,0,41,94,7,
32968,72,23,15,15,
32969,0,41,100,2,
32970,0,81,36,22,
32971,23,22,47,23,
32972,0,52,25,19,
32973,0,81,19,17,
32974,0,42,73,14,
32975,0,81,17,17,
32976,0,81,10,12,
32977,0,41,48,22,
32978,0,42,100,2,
32979,0,41,72,15,
32980,0,41,100,1,
32981,0,42,98,6,
32982,0,41,94,6,
32983,0,42,88,11,
32984,0,41,88,10,
32985,0,81,33,18,
32986,0,81,67,20,
32987,22,22,47,23,
32988,0,81,17,13,
32989,0,41,95,9,
32990,0,81,15,17,
32991,0,41,96,7,
32992,0,41,99,3,
32993,0,42,88,10,
32994,0,81,23,16,
32995,0,81,3,7,
32996,0,42,87,13,
32997,9,21,31,17,
32998,0,81,3,7,
32999,0,81,14,20,
33000,0,71,73,15,
33001,0,81,13,16,
33002,0,81,86,13,
33003,0,52,53,21,
33004,0,81,39,20,
33005,0,41,94,8,
33006,0,41,84,17,
33007,0,41,95,7,
33008,0,71,40,20,
33009,0,41,95,8,
33010,0,52,28,22,
33011,0,52,48,20,
33012,0,41,89,11,
33013,0,52,27,20,
33014,0,41,100,1,
33015,0,81,0,2,
33016,0,81,15,11,
33017,4,21,87,12,
33018,18,21,28,13,
33019,0,41,24,18,
33020,0,11,4,13,
33021,11,21,13,13,
33022,13,21,38,21,
33023,0,42,99,3,
33024,0,81,2,6,
33025,0,82,11,14,
33026,0,41,80,14,
33027,0,41,99,5,
33028,44,22,30,20,
33029,0,71,68,22,
33030,5,21,27,22,
33031,0,41,100,2,
33032,0,41,29,19,
33033,0,71,29,18,
33034,0,41,99,4,
33035,0,41,75,15,
33036,53,23,8,11,
33037,63,23,12,15,
33038,0,81,3,7,
33039,7,21,16,15,
33040,0,42,95,7,
33041,0,81,3,6,
33042,5,21,39,16,
33043,0,41,99,5,
33044,84,24,4,8,
33045,0,81,7,12,
33046,20,22,25,15,
33047,0,71,38,20,
33048,0,81,40,20,
33049,0,81,3,5,
33050,0,81,20,15,
33051,0,81,5,8,
33052,0,81,6,12,
33053,1,21,67,15,
33054,6,21,70,16,
33055,0,81,11,11,
33056,0,42,96,8,
33057,0,41,94,7,
33058,0,41,80,11,
33059,0,81,23,16,
33060,0,81,83,16,
33061,0,81,23,19,
33062,0,81,59,16,
33063,0,42,36,17,
33064,0,81,57,20,
33065,0,41,36,24,
33066,0,52,59,22,
33067,0,42,86,19,
33068,0,81,2,5,
33069,0,81,4,11,
33070,0,41,97,8,
33071,27,22,32,16,
33072,0,41,95,8,
33073,0,81,10,12,
33074,0,81,39,28,
33075,0,81,36,22,
33076,0,42,80,13,
33077,0,42,84,13,
33078,0,41,84,13,
33079,0,71,95,9,
33080,0,81,8,10,
33081,0,42,62,18,
33082,0,81,8,13,
33083,0,42,89,11,
33084,0,41,100,1,
33085,0,41,99,5,
33086,0,81,6,7,
33087,5,21,17,15,
33088,0,81,13,13,
33089,0,81,28,19,
33090,0,81,6,10,
33091,0,41,76,17,
33092,0,42,90,9,
33093,0,52,75,15,
33094,0,41,99,5,
33095,1,21,93,7,
33096,0,42,94,11,
33097,0,71,38,18,
33098,0,42,82,16,
33099,23,22,57,17,
33100,0,41,100,1,
33101,0,41,86,15,
33102,0,41,93,7,
33103,16,21,4,8,
33104,12,21,71,16,
33105,0,41,100,1,
33106,0,71,35,24,
33107,0,42,89,12,
33108,0,42,88,14,
33109,0,41,100,2,
33110,0,43,81,15,
33111,0,41,93,11,
33112,0,11,66,28,
33113,0,41,76,14,
33114,0,41,99,5,
33115,0,41,91,8,
33116,0,41,99,3,
33117,22,22,56,21,
33118,45,22,4,8,
33119,0,42,20,15,
33120,0,41,76,13,
33121,0,41,95,7,
33122,0,81,49,22,
33123,0,41,90,10,
33124,0,41,75,14,
33125,75,23,7,12,
33126,0,42,98,6,
33127,0,42,95,11,
33128,0,81,6,9,
33129,0,11,80,20,
33130,0,42,85,13,
33131,36,22,14,11,
33132,0,90,90,11,
33133,0,81,15,12,
33134,0,43,77,15,
33135,0,81,24,18,
33136,0,81,31,14,
33137,0,42,86,16,
33138,7,21,69,21,
33139,1,21,11,13,
33140,0,42,97,9,
33141,0,42,68,14,
33142,0,41,90,10,
33143,0,81,3,7,
33144,0,81,27,18,
33145,1,21,6,9,
33146,5,21,4,8,
33147,0,71,53,24,
33148,0,41,58,20,
